code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,  pass/s_n,  kost/p_n,   p_n_max,   correct/k_n,   discl_n,           FER 
10000,       200,      0.000250,    1.69879864,   13.18500000,   25.94500000,    1.69879864,        16,      1000,         0,      10000000,        56,    0.00000000
10000,       200,      0.000500,    1.50022744,   29.27000000,   62.07500000,    1.50022744,        16,      1000,         0,      10000000,        93,    0.00000000
10000,       200,      0.000750,    1.43782190,   37.98000000,   94.49500000,    1.43782190,        16,      1000,         0,      10000000,       127,    0.00000000
10000,       200,      0.001000,    1.31476319,   40.46000000,  113.98500000,    1.31476319,        16,      1000,         0,      10000000,       149,    0.00000000
10000,       200,      0.001250,    1.26574455,   40.36000000,  132.39500000,    1.26574455,        16,      1000,         0,      10000000,       175,    0.00000000
10000,       200,      0.001500,    1.27944105,   47.17000000,  162.70000000,    1.27944105,        16,      1000,         0,      10000000,       207,    0.00000000
10000,       200,      0.001750,    1.28920824,   49.01000000,  190.14500000,    1.28920824,        16,      1000,         0,      10000000,       239,    0.00000000
10000,       200,      0.030250,    1.36861816,   55.07500000, 1948.62000000,    1.36861816,        16,      1000,         0,      10000000,      2677,    0.00000000
10000,       200,      0.002000,    1.25242196,   49.55000000,  207.68000000,    1.25242196,        16,      1000,         0,      10000000,       260,    0.00000000
10000,       200,      0.002250,    1.28502066,   52.06000000,  234.98000000,    1.28502066,        16,      1000,         0,      10000000,       295,    0.00000000
10000,       200,      0.002500,    1.27108799,   50.41000000,  251.46500000,    1.27108799,        16,      1000,         0,      10000000,       320,    0.00000000
10000,       200,      0.002750,    1.28096296,   54.33500000,  278.40000000,    1.28096296,        16,      1000,         0,      10000000,       350,    0.00000000
10000,       200,      0.003000,    1.26706945,   54.56000000,  295.33000000,    1.26706945,        16,      1000,         0,      10000000,       373,    0.00000000
10000,       200,      0.003250,    1.25688330,   51.44500000,  309.46500000,    1.25688330,        16,      1000,         0,      10000000,       396,    0.00000000
10000,       200,      0.003500,    1.26859317,   53.53000000,  334.18500000,    1.26859317,        16,      1000,         0,      10000000,       426,    0.00000000
10000,       200,      0.030500,    1.37055796,   57.13500000, 1964.53500000,    1.37055796,        16,      1000,         0,      10000000,      2698,    0.00000000
10000,       200,      0.003750,    1.28040355,   54.31000000,  359.09000000,    1.28040355,        16,      1000,         0,      10000000,       456,    0.00000000
10000,       200,      0.004000,    1.26238757,   53.29500000,  374.94000000,    1.26238757,        16,      1000,         0,      10000000,       474,    0.00000000
10000,       200,      0.004250,    1.26572954,   53.44500000,  390.24500000,    1.26572954,        16,      1000,         0,      10000000,       501,    0.00000000
10000,       200,      0.004500,    1.27714026,   53.39000000,  414.76500000,    1.27714026,        16,      1000,         0,      10000000,       530,    0.00000000
10000,       200,      0.004750,    1.28378677,   53.73500000,  440.40000000,    1.28378677,        16,      1000,         0,      10000000,       558,    0.00000000
10000,       200,      0.060250,    1.44215993,   54.54000000, 3292.58000000,    1.44215993,        16,      1000,         0,      10000000,      4736,    0.00000000
10000,       200,      0.005000,    1.28078595,   56.04000000,  455.66500000,    1.28078595,        16,      1000,         0,      10000000,       581,    0.00000000
10000,       200,      0.030750,    1.37184337,   55.99500000, 1980.16000000,    1.37184337,        16,      1000,         0,      10000000,      2718,    0.00000000
10000,       200,      0.005250,    1.27388958,   55.94500000,  468.74000000,    1.27388958,        16,      1000,         0,      10000000,       602,    0.00000000
10000,       200,      0.005500,    1.28238193,   55.07500000,  492.90500000,    1.28238193,        16,      1000,         0,      10000000,       630,    0.00000000
