code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,  pass/s_n,  kost/p_n,   p_n_max,   correct/k_n,   discl_n,           FER 
10000,       200,        0.0001,    0.49928327,    7.82978723,    7.82978723,    0.00000000,         4,       730,         0,         10000,         7,    0.29500000
10000,       200,        0.0002,    0.47374714,   10.20560748,   10.20560748,    0.00000000,         4,       730,         0,         10000,        13,    0.46500000
10000,       200,        0.0301,    1.22097423,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2379,    0.81500000
10000,       200,        0.0003,    0.81778723,   17.22727273,   17.22727273,    0.00000000,         4,       730,         0,         10000,        32,    0.34000000
10000,       200,        0.0601,    1.26815248,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4157,    0.92500000
10000,       200,        0.0004,    0.81612597,   18.35398230,   18.35398230,    0.00000000,         4,       730,         0,         10000,        41,    0.43500000
10000,       200,        0.0901,    1.31840906,   28.00000000,   28.00000000,    0.00000000,         4,       730,         0,         10000,      5758,    0.96500000
10000,       200,        0.0005,    0.91487987,   24.37984496,   24.37984496,    0.00000000,         4,       730,         0,         10000,        56,    0.35500000
10000,       200,        0.1201,    1.35835436,   25.00000000,   25.00000000,    0.00000000,         4,       730,         0,         10000,      7194,    0.99000000
10000,       200,        0.0302,    1.22027569,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2384,    0.84000000
10000,       200,        0.0006,    1.01053145,   29.35000000,   29.35000000,    0.00000000,         4,       730,         0,         10000,        73,    0.20000000
10000,       200,        0.0602,    1.27063596,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4170,    0.93000000
10000,       200,        0.0303,    1.22803126,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2405,    0.80500000
10000,       200,        0.0007,    0.98253211,   29.58108108,   29.58108108,    0.00000000,         4,       730,         0,         10000,        82,    0.26000000
10000,       200,        0.0902,    1.31603467,   27.62500000,   27.62500000,    0.00000000,         4,       730,         0,         10000,      5752,    0.96000000
10000,       200,        0.0008,    0.97237638,   30.44366197,   30.44366197,    0.00000000,         4,       730,         0,         10000,        91,    0.29000000
10000,       200,        0.1202,    1.35186267,   25.00000000,   25.00000000,    0.00000000,         4,       730,         0,         10000,      7164,    0.99000000
10000,       200,        0.0304,    1.22964338,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2414,    0.82000000
10000,       200,        0.0603,    1.27367881,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4185,    0.92000000
10000,       200,        0.0009,    1.04306570,   32.95569620,   32.95569620,    0.00000000,         4,       730,         0,         10000,       108,    0.21000000
10000,       200,        0.0305,    1.22596478,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2413,    0.78000000
10000,       200,        0.0903,    1.30557409,   27.50000000,   27.50000000,    0.00000000,         4,       730,         0,         10000,      5711,    0.96000000
10000,       200,        0.0010,    1.01294962,   33.58064516,   33.58064516,    0.00000000,         4,       730,         0,         10000,       115,    0.22500000
10000,       200,        0.0604,    1.27416204,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4192,    0.93500000
10000,       200,        0.0011,    1.06618001,   34.46405229,   34.46405229,    0.00000000,         4,       730,         0,         10000,       132,    0.23500000
10000,       200,        0.1203,    1.37546006,   25.00000000,   25.00000000,    0.00000000,         4,       730,         0,         10000,      7293,    0.99500000
10000,       200,        0.0306,    1.21652157,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2401,    0.81000000
10000,       200,        0.0012,    1.06854613,   35.88235294,   35.88235294,    0.00000000,         4,       730,         0,         10000,       142,    0.23500000
10000,       200,        0.0605,    1.26492539,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4167,    0.95500000
10000,       200,        0.0904,    1.30119241,   27.66666667,   27.66666667,    0.00000000,         4,       730,         0,         10000,      5696,    0.97000000
10000,       200,        0.0307,    1.22341628,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2421,    0.77000000
10000,       200,        0.0013,    1.04788091,   36.75757576,   36.75757576,    0.00000000,         4,       730,         0,         10000,       150,    0.34000000
10000,       200,        0.0014,    1.07313075,   35.80419580,   35.80419580,    0.00000000,         4,       730,         0,         10000,       164,    0.28500000
10000,       200,        0.1204,    1.34248287,   25.00000000,   25.00000000,    0.00000000,         4,       730,         0,         10000,      7122,    0.98500000
10000,       200,        0.0308,    1.22340775,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2427,    0.79000000
10000,       200,        0.0606,    1.26810785,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4182,    0.97000000
10000,       200,        0.0905,    1.32333172,   27.60000000,   27.60000000,    0.00000000,         4,       730,         0,         10000,      5798,    0.97500000
10000,       200,        0.0015,    1.03691195,   33.54545455,   33.54545455,    0.00000000,         4,       730,         0,         10000,       168,    0.28500000
10000,       200,        0.0309,    1.22241492,   32.79487179,   32.79487179,    0.00000000,         4,       730,         0,         10000,      2431,    0.80500000
10000,       200,        0.0016,    1.04358387,   35.01428571,   35.01428571,    0.00000000,         4,       730,         0,         10000,       179,    0.30000000
10000,       200,        0.0607,    1.26420499,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4174,    0.92000000
10000,       200,        0.0017,    1.08450692,   37.13605442,   37.13605442,    0.00000000,         4,       730,         0,         10000,       196,    0.26500000
10000,       200,        0.1205,    1.35838338,   25.00000000,   25.00000000,    0.00000000,         4,       730,         0,         10000,      7210,    0.98000000
10000,       200,        0.0310,    1.23326493,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2458,    0.83000000
10000,       200,        0.0906,    1.30121484,   27.64285714,   27.64285714,    0.00000000,         4,       730,         0,         10000,      5705,    0.93000000
10000,       200,        0.0018,    1.04407727,   35.69285714,   35.69285714,    0.00000000,         4,       730,         0,         10000,       198,    0.30000000
10000,       200,        0.0608,    1.27778000,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4224,    0.96000000
10000,       200,        0.0311,    1.23133039,   32.77777778,   32.77777778,    0.00000000,         4,       730,         0,         10000,      2461,    0.82000000
10000,       200,        0.0019,    1.09703628,   36.80891720,   36.80891720,    0.00000000,         4,       730,         0,         10000,       218,    0.21500000
10000,       200,        0.0907,    1.30149811,   27.33333333,   27.33333333,    0.00000000,         4,       730,         0,         10000,      5711,    0.97000000
10000,       200,        0.1206,    1.36645284,   25.00000000,   25.00000000,    0.00000000,         4,       730,         0,         10000,      7257,    0.99000000
10000,       200,        0.0020,    1.07463683,   37.39189189,   37.39189189,    0.00000000,         4,       730,         0,         10000,       223,    0.26000000
10000,       200,        0.0312,    1.22844226,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2461,    0.82500000
10000,       200,        0.0609,    1.27268730,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4212,    0.92000000
10000,       200,        0.0021,    1.04908979,   36.60447761,   36.60447761,    0.00000000,         4,       730,         0,         10000,       227,    0.33000000
10000,       200,        0.0313,    1.21931807,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2449,    0.79500000
10000,       200,        0.0022,    1.10965278,   38.40666667,   38.40666667,    0.00000000,         4,       730,         0,         10000,       250,    0.25000000
10000,       200,        0.0908,    1.30836910,   27.50000000,   27.50000000,    0.00000000,         4,       730,         0,         10000,      5745,    0.99000000
10000,       200,        0.0610,    1.27433417,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4223,    0.94000000
10000,       200,        0.1207,    1.35800002,   25.00000000,   25.00000000,    0.00000000,         4,       730,         0,         10000,      7216,    0.99500000
10000,       200,        0.0023,    1.06507263,   37.80555556,   37.80555556,    0.00000000,         4,       730,         0,         10000,       249,    0.28000000
10000,       200,        0.0314,    1.21212772,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2440,    0.80000000
10000,       200,        0.0024,    1.08161109,   37.53103448,   37.53103448,    0.00000000,         4,       730,         0,         10000,       263,    0.27500000
10000,       200,        0.0611,    1.27689628,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4236,    0.93500000
10000,       200,        0.0315,    1.22648317,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2475,    0.82500000
10000,       200,        0.0909,    1.30830625,   27.14285714,   27.14285714,    0.00000000,         4,       730,         0,         10000,      5749,    0.96500000
10000,       200,        0.0025,    1.10091671,   38.14383562,   38.14383562,    0.00000000,         4,       730,         0,         10000,       277,    0.27000000
10000,       200,        0.1208,    1.31400736,   25.00000000,   25.00000000,    0.00000000,         4,       730,         0,         10000,      6986,    0.99500000
10000,       200,        0.0026,    1.09507670,   39.33552632,   39.33552632,    0.00000000,         4,       730,         0,         10000,       285,    0.24000000
10000,       200,        0.0316,    1.20629249,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2440,    0.81000000
10000,       200,        0.0612,    1.25967004,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4184,    0.93000000
10000,       200,        0.0910,    1.29600898,   27.16666667,   27.16666667,    0.00000000,         4,       730,         0,         10000,      5699,    0.97000000
10000,       200,        0.0027,    1.07838910,   39.38059701,   39.38059701,    0.00000000,         4,       730,         0,         10000,       290,    0.33000000
10000,       200,        0.0317,    1.20090565,   33.00000000,   33.00000000,    0.00000000,         4,       730,         0,         10000,      2436,    0.87500000
10000,       200,        0.0028,    1.10170198,   38.86486486,   38.86486486,    0.00000000,         4,       730,         0,         10000,       306,    0.26000000
10000,       200,        0.0613,    1.26060899,   29.00000000,   29.00000000,    0.00000000,         4,       730,         0,         10000,      4192,    0.94000000
10000,       200,        0.1209,    1.34212535,   25.00000000,   25.00000000,    0.00000000,         4,       730,         0,         10000,      7139,    0.97000000
